,ds,y
0,2017-05-02 00:00:00,6365
1,2017-05-02 00:15:00,7580
2,2017-05-02 00:30:00,6286
3,2017-05-02 00:45:00,13662
4,2017-05-02 01:00:00,24288
5,2017-05-02 01:15:00,7129
6,2017-05-02 01:30:00,7154
7,2017-05-02 01:45:00,19448
8,2017-05-02 02:00:00,6602
9,2017-05-02 02:15:00,6547
10,2017-05-02 02:30:00,31245
11,2017-05-02 02:45:00,6667
12,2017-05-02 03:00:00,6784
13,2017-05-02 03:15:00,6855
14,2017-05-02 03:30:00,7580
15,2017-05-02 03:45:00,6733
16,2017-05-02 04:00:00,6823
17,2017-05-02 04:15:00,6772
18,2017-05-02 04:30:00,6681
19,2017-05-02 04:45:00,22770
20,2017-05-02 05:00:00,6600
21,2017-05-02 05:15:00,6717
22,2017-05-02 05:30:00,6834
23,2017-05-02 05:45:00,6795
24,2017-05-02 06:00:00,7022
25,2017-05-02 06:15:00,6727
26,2017-05-02 06:30:00,7042
27,2017-05-02 06:45:00,31878
28,2017-05-02 07:00:00,22770
29,2017-05-02 07:15:00,34914
30,2017-05-02 07:30:00,32265
31,2017-05-02 07:45:00,33573
32,2017-05-02 08:00:00,33764
33,2017-05-02 08:15:00,13142
34,2017-05-02 08:30:00,21252
35,2017-05-02 08:45:00,16300
36,2017-05-02 09:00:00,27324
37,2017-05-02 09:15:00,33806
38,2017-05-02 09:30:00,33396
39,2017-05-02 09:45:00,33194
40,2017-05-02 10:00:00,33764
41,2017-05-02 10:15:00,34488
42,2017-05-02 10:30:00,50113
43,2017-05-02 10:45:00,33764
44,2017-05-02 11:00:00,38397
45,2017-05-02 11:15:00,40836
46,2017-05-02 11:30:00,49727
47,2017-05-02 11:45:00,42504
48,2017-05-02 12:00:00,38768
49,2017-05-02 12:15:00,33396
50,2017-05-02 12:30:00,34914
51,2017-05-02 12:45:00,33396
52,2017-05-02 13:00:00,40915
53,2017-05-02 13:15:00,42148
54,2017-05-02 13:30:00,34218
55,2017-05-02 13:45:00,47277
56,2017-05-02 14:00:00,33764
57,2017-05-02 14:15:00,34914
