,avg_hrcrx_max_byt,count_hrcrx_max_byt,max_hrcrx_max_byt,max_hrcrx_std_byt,min_hrcrx_max_byt,min_hrcrx_std_byt,percentile_10_hrcrx_max_byt,percentile_20_hrcrx_max_byt,percentile_25_hrcrx_max_byt,percentile_25_hrcrx_std_byt,percentile_30_hrcrx_max_byt,percentile_40_hrcrx_max_byt,percentile_50_hrcrx_max_byt,percentile_50_hrcrx_std_byt,percentile_60_hrcrx_max_byt,percentile_70_hrcrx_max_byt,percentile_75_hrcrx_max_byt,percentile_75_hrcrx_std_byt,percentile_80_hrcrx_max_byt,percentile_85_hrcrx_max_byt,percentile_90_hrcrx_max_byt,percentile_95_hrcrx_max_byt,percentile_98_hrcrx_max_byt,std_hrcrx_max_byt
2017-03-18 00:00:00+00:00,1169.807923,833,23840,,64,,77,128,,,160,,303,,,414,,,496,,4376,,,
2017-03-18 00:15:00+00:00,875.3790013,781,12384,,64,,64,121,,,154,,210,,,414,,,474,,767,,,
2017-03-18 00:30:00+00:00,894.9699248,798,15180,,64,,64,121,,,154,,219,,,414,,,474,,1045,,,
2017-03-18 00:45:00+00:00,862.0532319,789,8859,,64,,64,64,,,154,,271,,,414,,,474,,767,,,
2017-03-18 01:00:00+00:00,956.2350792,821,28272,,64,,64,70,,,154,,201,,,414,,,474,,1310,,,
2017-03-18 01:15:00+00:00,845.046332,777,8691,,64,,64,70,,,154,,219,,,414,,,474,,486,,,
2017-03-18 01:30:00+00:00,914.7447073,803,15180,,64,,64,121,,,154,,219,,,414,,,474,,1497,,,
2017-03-18 01:45:00+00:00,839.89875,800,8793,,64,,64,121,,,156,,219,,,414,,,474,,658,,,
2017-03-18 02:00:00+00:00,948.4878981,785,15180,,64,,64,68,,,154,,258,,,414,,,486,,1497,,,
2017-03-18 02:15:00+00:00,850.6101911,785,12144,,64,,64,70,,,154,,251,,,414,,,486,,995,,,
2017-03-18 02:30:00+00:00,1216.639752,805,33396,,64,,64,128,,,160,,299,,,414,,,486,,4196,,,
2017-03-18 02:45:00+00:00,834.905868,818,15180,,64,,64,128,,,156,,262,,,414,,,498,,852,,,
2017-03-18 03:00:00+00:00,1605.644304,790,33396,,64,,64,74,,,154,,243,,,414,,,498,,6813,,,
2017-03-18 03:15:00+00:00,884.8486352,806,17856,,64,,64,128,,,154,,277,,,414,,,486,,1497,,,
2017-03-18 03:30:00+00:00,753.2826633,796,7181,,64,,64,70,,,154,,258,,,414,,,486,,659,,,
2017-03-18 03:45:00+00:00,781.4901961,816,15180,,64,,64,90,,,154,,202,,,414,,,486,,681,,,
2017-03-18 04:00:00+00:00,765.7418087,763,6989,,64,,64,64,,,154,,201,,,414,,,486,,511,,,
2017-03-18 04:15:00+00:00,906.8636927,807,13662,,64,,64,90,,,154,,273,,,414,,,486,,1933,,,
2017-03-18 04:30:00+00:00,800.09601,802,15180,,64,,64,64,,,154,,201,,,414,,,486,,800,,,
2017-03-18 04:45:00+00:00,773.593199,794,7299,,64,,64,64,,,128,,201,,,414,,,463,,486,,,
2017-03-18 05:00:00+00:00,764.0098039,816,10626,,64,,64,64,,,154,,201,,,414,,,486,,638,,,
2017-03-18 05:15:00+00:00,751.4805031,795,7445,,64,,64,64,,,154,,201,,,414,,,438,,486,,,
2017-03-18 05:30:00+00:00,797.1703704,810,15180,,64,,64,96,,,154,,201,,,414,,,486,,1071,,,
2017-03-18 05:45:00+00:00,773.3424658,803,7298,,64,,64,64,,,154,,257,,,414,,,486,,576,,,
2017-03-18 06:00:00+00:00,823.0810474,802,12144,,64,,64,94,,,154,,201,,,414,,,486,,1071,,,
2017-03-18 06:15:00+00:00,762.4882571,809,7418,,64,,64,64,,,154,,201,,,414,,,463,,486,,,
2017-03-18 06:30:00+00:00,914.7333333,825,33396,,64,,64,95,,,154,,201,,,414,,,486,,1071,,,
2017-03-18 06:45:00+00:00,813.2,820,15180,,64,,64,99,,,154,,201,,,414,,,486,,995,,,
2017-03-18 07:00:00+00:00,755.4181141,806,7258,,64,,64,64,,,154,,201,,,414,,,463,,486,,,
2017-03-18 07:15:00+00:00,837.1122449,784,15180,,64,,64,94,,,154,,219,,,414,,,486,,1180,,,
2017-03-18 07:30:00+00:00,769.9098874,799,7667,,64,,64,64,,,154,,219,,,414,,,486,,486,,,
2017-03-18 07:45:00+00:00,815.5369212,799,12144,,64,,64,70,,,154,,219,,,414,,,486,,995,,,
2017-03-18 08:00:00+00:00,768.4154653,763,7528,,64,,64,64,,,128,,201,,,414,,,463,,486,,,
2017-03-18 08:15:00+00:00,833.0964467,788,9108,,64,,64,94,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 08:30:00+00:00,761.7356322,783,7361,,64,,64,64,,,154,,219,,,382,,,414,,486,,,
2017-03-18 08:45:00+00:00,875.3659466,787,19734,,64,,64,101,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 09:00:00+00:00,861.6960409,783,15180,,64,,64,94,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 09:15:00+00:00,773.5687264,793,7718,,64,,64,64,,,144,,201,,,382,,,438,,486,,,
2017-03-18 09:30:00+00:00,834.7925926,810,15180,,64,,64,64,,,154,,201,,,414,,,486,,1071,,,
2017-03-18 09:45:00+00:00,752.9772152,790,7471,,64,,64,64,,,130,,201,,,382,,,438,,486,,,
2017-03-18 10:00:00+00:00,876.7146433,799,23489,,64,,64,128,,,154,,203,,,426,,,486,,1405,,,
2017-03-18 10:15:00+00:00,752.445283,795,7520,,64,,64,64,,,154,,201,,,382,,,486,,523,,,
2017-03-18 10:30:00+00:00,790.7825,800,15180,,64,,64,64,,,154,,219,,,426,,,486,,1071,,,
2017-03-18 10:45:00+00:00,763.2299873,787,7355,,64,,64,64,,,153,,198,,,382,,,438,,486,,,
2017-03-18 11:00:00+00:00,802.00875,800,15180,,64,,64,64,,,154,,201,,,382,,,486,,822,,,
2017-03-18 11:15:00+00:00,802.0787802,787,15180,,64,,64,64,,,128,,201,,,382,,,486,,1036,,,
2017-03-18 11:30:00+00:00,762.6061381,782,7665,,64,,64,64,,,133,,198,,,382,,,438,,486,,,
2017-03-18 11:45:00+00:00,813.2368758,781,15180,,64,,64,64,,,154,,201,,,414,,,486,,1053,,,
2017-03-18 12:00:00+00:00,781.2748387,775,7872,,64,,64,70,,,133,,201,,,414,,,486,,522,,,
2017-03-18 12:15:00+00:00,800.8019925,803,10626,,64,,64,70,,,154,,201,,,382,,,486,,1071,,,
2017-03-18 12:30:00+00:00,753.1840102,788,7126,,64,,64,64,,,154,,201,,,382,,,463,,486,,,
2017-03-18 12:45:00+00:00,815.122549,816,15470,,64,,64,64,,,128,,187,,,382,,,486,,1071,,,
2017-03-18 13:00:00+00:00,750.0413534,798,7499,,64,,64,64,,,128,,196,,,382,,,438,,486,,,
2017-03-18 13:15:00+00:00,800.3846154,819,15180,,64,,64,70,,,133,,196,,,382,,,486,,995,,,
2017-03-18 13:30:00+00:00,784.2175,800,17907,,64,,64,64,,,154,,201,,,414,,,486,,694,,,
2017-03-18 13:45:00+00:00,768.5351418,811,15180,,64,,64,64,,,154,,201,,,382,,,463,,576,,,
2017-03-18 14:00:00+00:00,794.8914141,792,10626,,64,,64,64,,,128,,201,,,414,,,486,,1071,,,
2017-03-18 14:15:00+00:00,742.4640199,806,7491,,64,,64,64,,,154,,201,,,414,,,463,,486,,,
2017-03-18 14:30:00+00:00,795.6683739,781,15180,,64,,64,64,,,140,,203,,,414,,,486,,1071,,,
2017-03-18 14:45:00+00:00,758.7361111,792,7428,,64,,64,64,,,154,,201,,,414,,,486,,486,,,
2017-03-18 15:00:00+00:00,815.6988708,797,15180,,64,,64,90,,,154,,201,,,414,,,486,,1071,,,
2017-03-18 15:15:00+00:00,770.4993565,777,7429,,64,,64,64,,,128,,201,,,414,,,486,,486,,,
2017-03-18 15:30:00+00:00,774.5146341,820,9108,,64,,64,78,,,154,,219,,,414,,,486,,630,,,
2017-03-18 15:45:00+00:00,742.3474471,803,7070,,64,,64,64,,,128,,201,,,414,,,438,,486,,,
2017-03-18 16:00:00+00:00,785.2509225,813,15180,,64,,64,70,,,154,,212,,,414,,,486,,995,,,
2017-03-18 16:15:00+00:00,804.1270237,803,12144,,64,,64,64,,,128,,201,,,414,,,486,,1071,,,
2017-03-18 16:30:00+00:00,744.1701094,823,7723,,64,,64,70,,,154,,201,,,382,,,414,,486,,,
2017-03-18 16:45:00+00:00,827.9777503,809,22770,,64,,64,64,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 17:00:00+00:00,772.4486692,789,7469,,64,,64,68,,,154,,201,,,414,,,486,,486,,,
2017-03-18 17:15:00+00:00,798.3,790,15180,,64,,64,70,,,154,,201,,,414,,,486,,769,,,
2017-03-18 17:30:00+00:00,768.3573265,778,7552,,64,,64,64,,,154,,201,,,414,,,486,,542,,,
2017-03-18 17:45:00+00:00,838.5409623,769,15180,,64,,64,124,,,154,,225,,,414,,,486,,1071,,,
2017-03-18 18:00:00+00:00,793.0505992,751,7743,,64,,64,64,,,154,,219,,,414,,,486,,576,,,
2017-03-18 18:15:00+00:00,811.535316,807,14072,,64,,64,70,,,154,,196,,,414,,,486,,1071,,,
2017-03-18 18:30:00+00:00,810.1981982,777,15180,,64,,64,64,,,128,,219,,,414,,,486,,1071,,,
2017-03-18 18:45:00+00:00,719.2403965,807,7211,,64,,64,64,,,133,,201,,,414,,,486,,486,,,
2017-03-18 19:00:00+00:00,762.8941606,822,15180,,64,,64,64,,,147,,201,,,414,,,486,,632,,,
2017-03-18 19:15:00+00:00,745.1580278,791,7084,,64,,64,64,,,128,,201,,,414,,,486,,486,,,
2017-03-18 19:30:00+00:00,803.8366584,802,15180,,64,,64,70,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 19:45:00+00:00,762.0891219,763,7002,,64,,64,128,,,154,,201,,,414,,,458,,486,,,
2017-03-18 20:00:00+00:00,795.4522293,785,15180,,64,,64,128,,,156,,233,,,414,,,486,,1071,,,
2017-03-18 20:15:00+00:00,767.6832215,745,6722,,64,,64,128,,,154,,219,,,414,,,486,,758,,,
2017-03-18 20:30:00+00:00,806.4898219,786,15180,,64,,64,124,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 20:45:00+00:00,811.0422164,758,13662,,64,,64,128,,,156,,235,,,414,,,486,,1071,,,
2017-03-18 21:00:00+00:00,754.7715019,779,7129,,64,,64,110,,,154,,201,,,414,,,486,,486,,,
2017-03-18 21:15:00+00:00,842.7357238,753,15180,,64,,64,110,,,154,,258,,,414,,,486,,1169,,,
2017-03-18 21:30:00+00:00,773.6296774,775,7355,,64,,64,128,,,156,,219,,,414,,,486,,681,,,
2017-03-18 21:45:00+00:00,793.0837696,764,12144,,64,,64,64,,,133,,233,,,414,,,486,,1071,,,
2017-03-18 22:00:00+00:00,771.773386,759,7077,,64,,64,70,,,154,,235,,,414,,,486,,486,,,
2017-03-18 22:15:00+00:00,836.6168831,770,9108,,64,,64,94,,,154,,233,,,414,,,486,,1114,,,
2017-03-18 22:30:00+00:00,733.8518987,790,7155,,64,,64,64,,,154,,201,,,414,,,438,,486,,,
2017-03-18 22:45:00+00:00,865.9129353,804,19344,,64,,64,128,,,160,,251,,,414,,,486,,1303,,,
2017-03-18 23:00:00+00:00,830.7049808,783,21252,,64,,64,128,,,154,,219,,,414,,,486,,1071,,,
2017-03-18 23:15:00+00:00,710.8408797,773,7065,,64,,64,99,,,154,,201,,,414,,,486,,486,,,
2017-03-18 23:30:00+00:00,627.8507079,777,12144,,64,,64,95,,,154,,201,,,414,,,438,,486,,,
2017-03-18 23:45:00+00:00,657.6123235,779,7253,,64,,64,99,,,154,,201,,,382,,,414,,486,,,
2017-03-19 00:00:00+00:00,791.0967742,775,12144,,64,,64,99,,,154,,219,,,414,,,486,,995,,,
2017-03-19 00:15:00+00:00,758.6095361,776,7202,,64,,64,128,,,154,,201,,,414,,,486,,486,,,
2017-03-19 00:30:00+00:00,810.9283854,768,15180,,64,,64,102,,,154,,219,,,414,,,486,,1064,,,
2017-03-19 00:45:00+00:00,780.1230769,780,7374,,64,,64,128,,,154,,219,,,414,,,486,,576,,,
2017-03-19 01:00:00+00:00,841.4901186,759,12144,,64,,64,128,,,156,,219,,,414,,,486,,1169,,,
2017-03-19 01:15:00+00:00,820.67979,762,15180,,64,,64,70,,,154,,258,,,414,,,486,,995,,,
2017-03-19 01:30:00+00:00,777.9547804,774,7070,,64,,64,128,,,154,,219,,,414,,,486,,829,,,
2017-03-19 01:45:00+00:00,858.602649,755,15180,,64,,64,128,,,156,,257,,,414,,,486,,1497,,,
2017-03-19 02:00:00+00:00,794.8233035,781,7441,,64,,64,128,,,154,,219,,,414,,,438,,508,,,
2017-03-19 02:15:00+00:00,893,786,12144,,64,,64,121,,,144,,219,,,414,,,474,,1783,,,
2017-03-19 02:30:00+00:00,803.2595326,813,9391,,64,,64,70,,,139,,271,,,414,,,474,,995,,,
2017-03-19 02:45:00+00:00,858.68375,800,12144,,64,,64,70,,,139,,258,,,414,,,474,,1497,,,
2017-03-19 03:00:00+00:00,787.7094763,802,17453,,64,,64,70,,,136,,273,,,414,,,474,,767,,,
2017-03-19 03:15:00+00:00,792.9080745,805,13825,,64,,64,94,,,139,,219,,,414,,,474,,1071,,,
2017-03-19 03:30:00+00:00,836.7210191,785,12754,,64,,64,90,,,139,,273,,,414,,,474,,1085,,,
2017-03-19 03:45:00+00:00,849.894015,802,13662,,64,,64,99,,,154,,258,,,414,,,474,,1285,,,
2017-03-19 04:00:00+00:00,848.0301887,795,17592,,64,,64,70,,,154,,286,,,414,,,474,,1446,,,
2017-03-19 04:15:00+00:00,815.1575,800,9271,,64,,64,70,,,154,,258,,,414,,,474,,1016,,,
2017-03-19 04:30:00+00:00,893.5232704,795,31878,,64,,64,64,,,133,,258,,,414,,,474,,1497,,,
2017-03-19 04:45:00+00:00,802.2217949,780,11906,,64,,64,64,,,154,,299,,,414,,,474,,1143,,,
2017-03-19 05:00:00+00:00,825.6716792,798,17839,,64,,64,121,,,154,,258,,,414,,,474,,1130,,,
2017-03-19 05:15:00+00:00,853.6640726,771,13825,,64,,64,121,,,154,,299,,,414,,,474,,1611,,,
2017-03-19 05:30:00+00:00,686.1484772,788,15180,,64,,64,95,,,139,,243,,,414,,,474,,767,,,
2017-03-19 05:45:00+00:00,671.4447268,787,11474,,64,,64,70,,,154,,258,,,414,,,474,,674,,,
2017-03-19 06:00:00+00:00,702.1547315,782,9108,,64,,64,101,,,154,,267,,,414,,,474,,774,,,
2017-03-19 06:15:00+00:00,807.8027638,796,15180,,64,,64,99,,,139,,299,,,414,,,474,,1497,,,
2017-03-19 06:30:00+00:00,736.9379653,806,12706,,64,,64,70,,,139,,235,,,414,,,474,,767,,,
2017-03-19 06:45:00+00:00,939.2722772,808,25328,,64,,64,99,,,154,,299,,,414,,,474,,1783,,,
2017-03-19 07:00:00+00:00,777.2409938,805,9136,,64,,64,64,,,139,,258,,,414,,,474,,767,,,
2017-03-19 07:15:00+00:00,1020.490542,793,16698,,64,,64,99,,,154,,303,,,414,,,474,,4128,,,
2017-03-19 07:30:00+00:00,830.019084,786,9248,,64,,64,64,,,139,,258,,,414,,,474,,767,,,
2017-03-19 07:45:00+00:00,936.4285714,798,20336,,64,,64,70,,,154,,303,,,414,,,474,,2131,,,
2017-03-19 08:00:00+00:00,795.391635,789,9564,,64,,64,64,,,139,,258,,,414,,,474,,789,,,
2017-03-19 08:15:00+00:00,877.8492462,796,16698,,64,,64,70,,,139,,299,,,414,,,474,,1783,,,
2017-03-19 08:30:00+00:00,858.4168766,794,15180,,64,,64,70,,,154,,299,,,414,,,474,,1454,,,
2017-03-19 08:45:00+00:00,892.6925972,797,29265,,64,,64,64,,,139,,258,,,414,,,474,,1422,,,
2017-03-19 09:00:00+00:00,898.4968632,797,15112,,64,,64,70,,,154,,303,,,414,,,474,,1783,,,
2017-03-19 09:15:00+00:00,816.3929961,771,13662,,64,,64,70,,,139,,288,,,414,,,474,,1071,,,
2017-03-19 09:30:00+00:00,850.8897436,780,15180,,64,,64,119,,,154,,299,,,414,,,474,,1783,,,
2017-03-19 09:45:00+00:00,831.4590377,769,8022,,64,,64,119,,,154,,303,,,414,,,474,,1071,,,
2017-03-19 10:00:00+00:00,894.3337563,788,15180,,64,,64,119,,,154,,303,,,414,,,474,,1783,,,
2017-03-19 10:15:00+00:00,859.4057217,769,9234,,64,,64,99,,,154,,299,,,414,,,474,,1071,,,
2017-03-19 10:30:00+00:00,884.8546144,791,15180,,64,,64,95,,,154,,303,,,414,,,474,,1497,,,
2017-03-19 10:45:00+00:00,922.1047254,783,15180,,64,,64,119,,,154,,303,,,414,,,474,,3010,,,
2017-03-19 11:00:00+00:00,824.0131062,763,9301,,64,,64,99,,,154,,260,,,414,,,474,,1002,,,
2017-03-19 11:15:00+00:00,901.1673102,777,15180,,64,,64,119,,,154,,303,,,414,,,474,,3213,,,
2017-03-19 11:30:00+00:00,855.6550837,777,10789,,64,,64,119,,,154,,303,,,414,,,474,,996,,,
2017-03-19 11:45:00+00:00,959.2442748,786,15601,,64,,64,119,,,154,,303,,,414,,,474,,3010,,,
2017-03-19 12:00:00+00:00,903.6112565,764,13726,,64,,64,119,,,154,,299,,,414,,,474,,1071,,,
2017-03-19 12:15:00+00:00,869.795995,799,10626,,64,,64,70,,,154,,273,,,414,,,474,,1783,,,
2017-03-19 12:30:00+00:00,790.1031553,824,9248,,64,,64,64,,,121,,219,,,414,,,474,,785,,,
2017-03-19 12:45:00+00:00,890.2447724,813,15180,,64,,64,70,,,139,,246,,,414,,,474,,1559,,,
2017-03-19 13:00:00+00:00,854.8560701,799,11852,,64,,64,70,,,139,,264,,,414,,,474,,1275,,,
2017-03-19 13:15:00+00:00,901.1813725,816,25806,,64,,64,70,,,140,,271,,,414,,,474,,950,,,
2017-03-19 13:30:00+00:00,894.7923833,814,25296,,64,,64,70,,,154,,288,,,414,,,474,,1071,,,
2017-03-19 13:45:00+00:00,818.9853659,820,11909,,64,,64,70,,,139,,243,,,414,,,474,,1071,,,
2017-03-19 14:00:00+00:00,843.5358025,810,13662,,64,,64,70,,,154,,258,,,414,,,474,,1167,,,
2017-03-19 14:15:00+00:00,792.2773723,822,7693,,64,,64,64,,,121,,201,,,414,,,474,,767,,,
2017-03-19 14:30:00+00:00,832.1658596,826,15493,,64,,64,64,,,139,,219,,,414,,,474,,1327,,,
2017-03-19 14:45:00+00:00,821.8443337,803,11909,,64,,64,68,,,139,,271,,,414,,,474,,1109,,,
2017-03-19 15:00:00+00:00,844.2376951,833,15229,,64,,64,82,,,139,,271,,,414,,,474,,1071,,,
